source_iso3,source_name,source_m49,population_2026,target_iso3,target_name
ABW,Aruba,533,108164,NLD,Netherlands
AIA,Anguilla,660,14817,GBR,United Kingdom
ASM,American Samoa,016,45319,USA,United States of America
BES,"Bonaire, Sint Eustatius and Saba",535,31913,NLD,Netherlands
BLM,Saint Barthélemy,652,11550,FRA,France
BMU,Bermuda,060,64459,GBR,United Kingdom
CUW,Curaçao,531,185440,NLD,Netherlands
CYM,Cayman Islands,136,77196,GBR,United Kingdom
FLK,Falkland Islands (Malvinas),238,3465,GBR,United Kingdom
FRO,Faroe Islands,234,56526,DNK,Denmark
GGY,Guernsey,831,64609,GBR,United Kingdom
GIB,Gibraltar,292,40867,GBR,United Kingdom
GLP,Guadeloupe,312,372453,FRA,France
GRL,Greenland,304,55629,DNK,Denmark
GUF,French Guiana,254,318872,FRA,France
GUM,Guam,316,170185,USA,United States of America
HKG,"China, Hong Kong SAR",344,7378602,CHN,China
IMN,Isle of Man,833,84055,GBR,United Kingdom
JEY,Jersey,832,104106,GBR,United Kingdom
MAC,"China, Macao SAR",446,723188,CHN,China
MAF,Saint Martin (French part),663,23898,FRA,France
MNP,Northern Mariana Islands,580,42914,USA,United States of America
MSR,Montserrat,500,4328,GBR,United Kingdom
MTQ,Martinique,474,337711,FRA,France
MYT,Mayotte,175,347536,FRA,France
NCL,New Caledonia,540,297892,FRA,France
PRI,Puerto Rico,630,3222688,USA,United States of America
PYF,French Polynesia,258,283076,FRA,France
REU,Réunion,638,886298,FRA,France
SHN,Saint Helena,654,5147,GBR,United Kingdom
SPM,Saint Pierre and Miquelon,666,5513,FRA,France
SXM,Sint Maarten (Dutch part),534,44447,NLD,Netherlands
TCA,Turks and Caicos Islands,796,47148,GBR,United Kingdom
TKL,Tokelau,772,2691,NZL,New Zealand
TWN,"China, Taiwan Province of China",158,23011292,CHN,China
VGB,British Virgin Islands,092,39936,GBR,United Kingdom
VIR,United States Virgin Islands,850,83400,USA,United States of America
WLF,Wallis and Futuna Islands,876,11113,FRA,France
XKX,Kosovo (under UNSC res. 1244),412,1666992,SRB,Serbia
